,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.68,0.05,0.68,0.68
1,0.6466666666666666,0.056666666666666664,0.7066666666666667,0.5266666666666666
2,0.61,0.07666666666666666,0.6733333333333333,0.48333333333333334
3,0.49,0.056666666666666664,0.6633333333333333,0.29333333333333333
4,0.47,0.07,0.6766666666666666,0.25666666666666665
5,0.7066666666666667,0.006666666666666667,0.72,0.69
6,0.6733333333333333,0.06333333333333334,0.7266666666666667,0.64
7,0.6266666666666667,0.03,0.7533333333333333,0.52
8,0.54,0.006666666666666667,0.6933333333333334,0.4166666666666667
9,0.6866666666666666,0.0033333333333333335,0.69,0.6633333333333333
