,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.6766666666666666,0.0,0.67,0.6566666666666666
1,0.68,0.01,0.68,0.68
2,0.6533333333333333,0.013333333333333334,0.6533333333333333,0.65
3,0.67,0.01,0.6633333333333333,0.65
4,0.6666666666666666,0.01,0.68,0.6533333333333333
5,0.7233333333333334,0.71,0.7233333333333334,0.7233333333333334
6,0.71,0.013333333333333334,0.71,0.71
7,0.71,0.006666666666666667,0.6933333333333334,0.6633333333333333
8,0.6933333333333334,0.006666666666666667,0.7,0.68
9,0.69,0.0033333333333333335,0.6866666666666666,0.6866666666666666
